filename,label
Not Compliant/Screenshot 2026-03-30 at 14.02.31.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.05.38.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.05.55.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.12.18.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.19.55.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.20.15.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.20.36.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.22.13.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.23.06.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.29.04.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.29.15.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.30.01.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.30.13.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.31.50.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.32.19.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.33.00.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.33.06.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.33.14.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.46.53.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.47.31.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.49.29.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.49.56.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.51.13.png,noncompliant
Not Compliant/scaling_notcompliant_027.jpg,noncompliant
